c,Band_1,Band_2,Band_3,Band_4,Band_5,Band_6,Band_7,Band_8,Band_8A,Band_11,Band_12
37.58,0.056205001,0.051061898,0.075243697,0.043142799,0.088368297,0.248811007,0.309771001,0.314442009,0.344449013,0.0781921,0.0257158
136.72,0.0544459,0.049436402,0.071289703,0.043983001,0.081957102,0.201434001,0.239231005,0.240586996,0.262082994,0.077776201,0.031238399
95.8,0.0668796,0.068618901,0.081562698,0.060644299,0.092876397,0.161672994,0.184835002,0.193954006,0.205842003,0.089836203,0.043906
71.69,0.063229002,0.0855444,0.100988999,0.058369402,0.094180897,0.206751004,0.250882,0.27273199,0.265727997,0.093058303,0.039792001
116.47,0.0544459,0.0551221,0.074584998,0.0493818,0.081719503,0.179550007,0.216543004,0.203044996,0.245875999,0.081311502,0.0321046
52.05,0.0608899,0.058501601,0.079983801,0.061362501,0.102238998,0.220027,0.259663999,0.252954006,0.286720991,0.100125,0.0483444
72.66,0.0518049,0.052280501,0.0723444,0.043382902,0.081957102,0.198541999,0.241319999,0.239898995,0.260688007,0.076424398,0.0263655
92.65,0.051658101,0.0543104,0.073926099,0.0461431,0.080650397,0.174098,0.2086,0.214082003,0.228891,0.067896202,0.0254992
39.32,0.051658101,0.052551199,0.073662497,0.045543101,0.081482001,0.185461,0.221064001,0.199478999,0.239750996,0.069352403,0.0254992
53.34,0.051951699,0.046861,0.066275999,0.038339399,0.081125602,0.233625993,0.281471997,0.275472999,0.314397991,0.080375701,0.026148999
78.66,0.046808802,0.044147901,0.066936001,0.0365372,0.079581097,0.238001004,0.28847301,0.291557997,0.324638009,0.078296103,0.0249578
87.68,0.038783699,0.039850902,0.061464202,0.035345498,0.0790326,0.197396994,0.220230997,0.235530004,0.234966993,0.0635726,0.0222403
145.89,0.034711398,0.036445901,0.062887102,0.038330302,0.087747999,0.187969998,0.212305993,0.238555998,0.240779996,0.0794999,0.032604601
29.97,0.037207998,0.040701699,0.062175699,0.043855902,0.079825103,0.166290998,0.196761996,0.194584996,0.201397002,0.063471802,0.024291599
70.07,0.034974299,0.037905499,0.059092101,0.040982898,0.070878401,0.141996995,0.163338006,0.175155997,0.170448005,0.047543701,0.017058101
66.38,0.037733302,0.043253001,0.0647837,0.054016098,0.086955898,0.176965997,0.202291995,0.208726004,0.219768003,0.0728468,0.029041899
73.47,0.041014299,0.036567502,0.054938599,0.034792598,0.066912897,0.173932999,0.187575996,0.196942002,0.206705004,0.059439398,0.024831399
61.69,0.036025699,0.0342554,0.062531397,0.031364501,0.085032098,0.222846001,0.259600013,0.285362989,0.28846401,0.068411298,0.023212001
71.06,0.040489599,0.038148701,0.056600299,0.037998699,0.066346303,0.152236998,0.167728007,0.179425001,0.181992993,0.054499701,0.022456201
54.65,0.037602,0.040093999,0.064546697,0.0406514,0.0865032,0.181345999,0.199162006,0.207940996,0.205684006,0.052987501,0.0181378
51.22,0.036682598,0.042038299,0.060634099,0.0434139,0.073823497,0.150886998,0.169295996,0.176166996,0.177702993,0.052281801,0.0186776
135.76,0.0365512,0.0318201,0.045315702,0.030479601,0.067932703,0.162131995,0.196866006,0.219495997,0.203949004,0.090890497,0.0519295
79.06,0.037602,0.0368108,0.058380201,0.036782701,0.073936798,0.160670996,0.182771996,0.178076997,0.183320999,0.057725601,0.023751801
98.29,0.033922601,0.037662301,0.0561256,0.033133999,0.071784697,0.187408999,0.224609002,0.199747995,0.230887994,0.0582297,0.0217005
77.07,0.034974299,0.038392,0.058024298,0.035124298,0.070991702,0.184040993,0.205109,0.213887006,0.217318997,0.059842601,0.023212001
96.76,0.033922601,0.0357159,0.0588548,0.032249201,0.081523202,0.203791007,0.242216006,0.25513801,0.256478995,0.065487899,0.0229961
99.28,0.031028301,0.035229102,0.0611085,0.033133999,0.080164798,0.195602,0.227422997,0.246848002,0.235578999,0.059540201,0.018785501
68.59,0.040358402,0.0431315,0.062412798,0.0434139,0.078919403,0.146835998,0.160307005,0.167290002,0.172695994,0.050971299,0.020297
50.65,0.0365512,0.041795298,0.06182,0.0405409,0.075522304,0.166516006,0.189036995,0.191216007,0.201295003,0.061657201,0.023751801
116.76,0.0492655,0.050533298,0.072246201,0.065491103,0.089558303,0.144473001,0.161457002,0.158186004,0.165950999,0.050668899,0.0227801
14.15,0.0501808,0.065054096,0.0928104,0.108423002,0.123233996,0.150548995,0.161770001,0.142554998,0.165747002,0.112360001,0.070066497
65.37,0.036025699,0.039729301,0.063242801,0.046396799,0.090010799,0.184153005,0.207820997,0.223533005,0.225481004,0.095527202,0.044804201
40.65,0.033922601,0.035959199,0.0539889,0.036451001,0.072237797,0.168313995,0.191646993,0.164706007,0.203540996,0.055104598,0.020620899
48.49,0.031423099,0.033281501,0.0529202,0.028267199,0.074842803,0.216011003,0.248670995,0.25592199,0.257804006,0.065689497,0.0228881
20.58,0.0436363,0.037662301,0.054345001,0.0537953,0.080730803,0.168090001,0.194986999,0.179087996,0.208950996,0.082524002,0.037462801
40.34,0.0312915,0.031332899,0.055769499,0.031475101,0.0799383,0.204799995,0.236487001,0.255026013,0.258720994,0.069620997,0.025911
87.47,0.040489599,0.045317098,0.068338402,0.060527399,0.0865032,0.128711998,0.139700994,0.132317007,0.141821995,0.043611899,0.019541301
78.74,0.032081101,0.031576499,0.0561256,0.032470401,0.0892189,0.244678006,0.28133601,0.275292009,0.304547012,0.077685401,0.0252632
85.23,0.0466487,0.0500484,0.074495003,0.0777262,0.081749603,0.0761443,0.101049997,0.082646497,0.085823499,0.047442801,0.0250473
51.64,0.033264998,0.031698301,0.056956399,0.029815899,0.079372302,0.232813999,0.259912014,0.27462101,0.28479901,0.072342798,0.024399601
86.94,0.0471722,0.047986701,0.069878101,0.078717597,0.101319999,0.153248996,0.174207002,0.185827002,0.178724006,0.072443597,0.035195701
34.74,0.0323442,0.0309675,0.048287299,0.026607599,0.063399702,0.179661006,0.205526993,0.208614007,0.223134995,0.054499701,0.020512899
52.6,0.030238399,0.031332899,0.0475743,0.0267183,0.070991702,0.212648004,0.239299998,0.241021007,0.260657012,0.062262099,0.0217005
62.92,0.035105798,0.035594199,0.055532102,0.036008801,0.063626297,0.135581002,0.167936996,0.143004999,0.166258007,0.048753399,0.018461701
78.96,0.046255901,0.0513818,0.0739033,0.081140898,0.112507001,0.165055007,0.179324999,0.168077007,0.177907005,0.053995602,0.027314501
61.2,0.0457322,0.052593701,0.077216201,0.084444501,0.113411002,0.164605007,0.182354003,0.197053999,0.191287994,0.084540002,0.041673299
85.7,0.040883102,0.043010101,0.060871299,0.0542369,0.0799383,0.150548995,0.168042004,0.156499997,0.166870996,0.0412932,0.0151148
32.82,0.038127199,0.039364599,0.059566598,0.053353801,0.087521598,0.172360003,0.195405006,0.207267001,0.213645995,0.084338397,0.037138999
74.18,0.030896701,0.0303583,0.050307199,0.027050201,0.072464302,0.204350993,0.233674005,0.241134003,0.252912015,0.0621612,0.0215925
160.33,0.0311599,0.030236401,0.053751402,0.027160799,0.080730803,0.230798006,0.258246988,0.271039009,0.275633007,0.0682097,0.022672201
115.87,0.0419323,0.040093999,0.060396899,0.052139301,0.076428302,0.129500002,0.141898006,0.134904996,0.144275993,0.048450999,0.020297
153.29,0.0312915,0.030236401,0.0423427,0.025722399,0.052060802,0.152574003,0.177236006,0.173021004,0.189041004,0.0432087,0.0166263
128.91,0.031949501,0.0304801,0.046861202,0.0278247,0.057164401,0.152798995,0.174310997,0.221402004,0.185261995,0.043007001,0.016950199
87.94,0.039055102,0.042564701,0.060728598,0.042230401,0.070282802,0.163274005,0.194857001,0.190492004,0.208482996,0.070724398,0.0350108
123.53,0.035614502,0.038752198,0.059271101,0.039221,0.0691723,0.180215999,0.214778006,0.229653001,0.244866997,0.081933603,0.034694102
81.53,0.049614798,0.038752198,0.0667978,0.039109498,0.084045202,0.250070989,0.30003801,0.31686601,0.332830995,0.087184198,0.0293098
117.73,0.037070699,0.037767701,0.059757002,0.032195698,0.076832898,0.245721996,0.313722998,0.306989014,0.342290998,0.087688997,0.029732101
174.88,0.040637899,0.031750102,0.048213501,0.027406899,0.044381499,0.118152998,0.139987007,0.157335997,0.158190995,0.020032899,0
129.85,0.0354454,0.0341531,0.0499724,0.0288122,0.0399445,0.065740101,0.075116202,0.128391996,0.086694703,0.0140402,0
138.8,0.0262661,0.0229757,0.039739199,0.0134052,0.0453672,0.195001006,0.254079998,0.268976003,0.280092001,0.031215601,0
143.08,0.026305901,0.0235078,0.036102898,0.0164697,0.041046999,0.156045005,0.221849993,0.250815988,0.236989006,0.0260409,0
166.36,0.029192301,0.022452099,0.036727201,0.012951,0.033915699,0.160743997,0.189053997,0.259981006,0.215965003,0.0187498,0
128.78,0.033475,0.023201499,0.039885301,0.0164086,0.030997301,0.071646698,0.102003999,0.183223993,0.10402,0.015927101,0
150.77,0.035614502,0.041827101,0.056962602,0.044236202,0.066617601,0.181418002,0.229260996,0.211881995,0.260078013,0.059109502,0.0224472
142.88,0.0238555,0.024505001,0.032575302,0.0183655,0.035903402,0.097439602,0.117879003,0.132923007,0.125740007,0.0167516,0
196.73,0.034952398,0.035551701,0.0534373,0.0358762,0.064951301,0.196811005,0.256006002,0.222459003,0.277624995,0.055271201,0.020546701
117.71,0.0239252,0.0217578,0.0404584,0.0142366,0.034680601,0.117949001,0.147709996,0.242474005,0.160089001,0.031012399,0
157.1,0.0323852,0.0229521,0.038365301,0.0145386,0.0326862,0.108147003,0.140456006,0.200761005,0.154081002,0.017537,0
181.11,0.036938298,0.041212302,0.058299199,0.045907401,0.059172999,0.119133003,0.150968999,0.181646004,0.157286003,0.0522408,0.0281485
198.7,0.033097599,0.042687699,0.057084098,0.0478011,0.0677284,0.194192007,0.233634993,0.173343003,0.248135,0.0578974,0.0257202
192.23,0.029649699,0.0312391,0.0501533,0.0258354,0.066617601,0.238434002,0.29578501,0.313827991,0.325911999,0.067492597,0.0221304
210.17,0.030843601,0.0339504,0.047476102,0.0306338,0.061951399,0.201939002,0.252887011,0.236845002,0.275074989,0.051937699,0.018646199
95.77,0.035025202,0.031005699,0.049843501,0.032007501,0.066568397,0.187749997,0.227252007,0.217316002,0.239176005,0.077582598,0.031710699
80.55,0.033937398,0.034539402,0.0564702,0.042603198,0.080007397,0.196447998,0.230026007,0.228961006,0.238032997,0.069516703,0.029242801
38.07,0.040593199,0.040840901,0.063455701,0.054776799,0.086547598,0.170331001,0.192739993,0.189916998,0.197751001,0.065636501,0.029135499
123.71,0.040050499,0.033151601,0.0597803,0.033831399,0.086203501,0.250263989,0.301283002,0.291429013,0.329136014,0.094017401,0.0324618
114.37,0.044118099,0.045245301,0.064312801,0.049090501,0.075989202,0.158254996,0.176143005,0.170295998,0.180647999,0.0608369,0.026023701
60.86,0.050883502,0.056295101,0.076176398,0.064320803,0.077596702,0.108351,0.133742005,0.099522397,0.124935001,0.041225899,0.020229099
113.7,0.043304998,0.042729199,0.0610057,0.0430586,0.0707056,0.163736001,0.191562995,0.188216999,0.199626997,0.065636501,0.027203999
86.12,0.040321801,0.0422257,0.0628433,0.0390728,0.079318702,0.237724006,0.277718991,0.277922004,0.299035996,0.097793601,0.038363099
108.97,0.0453371,0.0423516,0.061863299,0.0406674,0.079089098,0.257358998,0.306371003,0.311439008,0.334302008,0.138500005,0.057889
83.21,0.0389647,0.0384477,0.056347501,0.037022199,0.072084203,0.204359993,0.246548995,0.258538991,0.265139997,0.093711197,0.040616199
93.87,0.040593199,0.038825601,0.055243701,0.038161501,0.074266598,0.253035992,0.311563998,0.323229998,0.339569986,0.138907999,0.058854401
90.27,0.036112599,0.035296202,0.0534034,0.034515198,0.069441602,0.204694003,0.247507006,0.254703999,0.264517993,0.090444997,0.037826601
56.28,0.0291731,0.032141902,0.054139599,0.034971099,0.071050197,0.190983996,0.223838001,0.223309994,0.236889005,0.075540699,0.031281501
97.35,0.035025202,0.039959401,0.058922298,0.046018202,0.076218903,0.166195005,0.185032994,0.194448993,0.202857003,0.071456701,0.033427499
97.41,0.036520202,0.043987501,0.065659598,0.053185001,0.080696099,0.154449999,0.174535006,0.158601999,0.181379005,0.0677808,0.032247201
116.71,0.032304902,0.036809199,0.056102298,0.035768799,0.070475802,0.163846999,0.179998994,0.191503003,0.192330003,0.070742004,0.032032602
101.86,0.0280829,0.0315107,0.050334699,0.032463498,0.066453502,0.179379001,0.201404005,0.202038005,0.216708004,0.072886199,0.032139901
103.15,0.029990399,0.0355484,0.051562399,0.035882801,0.067717798,0.170553997,0.199157998,0.201584995,0.207335994,0.065738603,0.027633199
54.33,0.026310399,0.0307531,0.0480012,0.0290427,0.065993696,0.193549007,0.226825997,0.224665999,0.245307997,0.075847,0.032569099
100.77,0.026446801,0.0294901,0.048246901,0.0305252,0.065073997,0.207700998,0.249638006,0.259667009,0.271364987,0.087484904,0.035144199
86.88,0.030943699,0.033782501,0.054753002,0.034971099,0.066683397,0.176251993,0.205359995,0.222292006,0.219622001,0.066351302,0.026452901
93.07,0.0260376,0.031889401,0.047509801,0.0309813,0.068292499,0.186187997,0.222130001,0.224553004,0.237825006,0.079726599,0.033856701
84.83,0.026446801,0.029237499,0.050825801,0.027788101,0.071624704,0.226503,0.264963001,0.27105099,0.286709011,0.090853304,0.0324618
68.39,0.0283555,0.031131901,0.048124101,0.032007501,0.067487903,0.196447998,0.227999002,0.243306994,0.252786994,0.088403501,0.035466101
93.21,0.0271286,0.0303743,0.0504575,0.0284725,0.071050197,0.257248998,0.310185999,0.320760012,0.33089301,0.091567799,0.0311742
103.51,0.0278103,0.031384502,0.0462812,0.030297199,0.062659398,0.194886997,0.227678999,0.239242002,0.246346995,0.086259902,0.0333202
110.63,0.039100502,0.043735798,0.057083301,0.0390728,0.073347799,0.185405999,0.210916996,0.219577998,0.229090005,0.080339096,0.031388801
63.22,0.036791898,0.036431,0.051316801,0.033489399,0.070360899,0.228393003,0.277188003,0.263049006,0.294272006,0.087995298,0.029993899
161.64,0.035025202,0.038573701,0.055734299,0.0365665,0.0707056,0.210484996,0.253684014,0.25898999,0.272816986,0.092486396,0.034715001
114.76,0.031896599,0.0340348,0.049966302,0.0309813,0.068752103,0.217383996,0.259218007,0.266880989,0.272505999,0.098814197,0.0373974
83.64,0.0359767,0.0359267,0.0524216,0.031893499,0.068752103,0.214268997,0.251980007,0.261357993,0.272091001,0.093506999,0.035251498
53.1,0.0271286,0.031889401,0.048983902,0.027674001,0.068981998,0.225613996,0.264856994,0.27105099,0.282977998,0.085749596,0.029564699
81.74,0.029036799,0.031131901,0.0480012,0.028586499,0.068407401,0.239722997,0.286004007,0.288165987,0.308557987,0.087893203,0.029135499
103.25,0.030671399,0.031637002,0.049720701,0.0292708,0.067258097,0.246491998,0.292266011,0.298738986,0.320556998,0.097385399,0.034285899
45.6,0.032985199,0.035170101,0.052053399,0.034173299,0.069211803,0.186968997,0.215296,0.224778995,0.231066003,0.083503798,0.0356807
96.55,0.030399,0.0307531,0.046035402,0.029841,0.068062603,0.198008999,0.235145003,0.225796998,0.244268999,0.0853412,0.032998301
141.23,0.0301266,0.030879401,0.048492599,0.029498899,0.067373,0.200794995,0.235678002,0.251996994,0.248217002,0.086770304,0.033856701
76.07,0.0327131,0.035043899,0.0524216,0.034173299,0.068867102,0.166641995,0.191027999,0.195469007,0.196813002,0.063083597,0.025057901
79.37,0.034481399,0.0394555,0.0586772,0.040781301,0.075070597,0.163512006,0.182034999,0.195015997,0.192851007,0.066453397,0.0294574
48.06,0.031488299,0.037439499,0.057819001,0.0366804,0.076333702,0.200682998,0.234612003,0.236870006,0.250606,0.096364804,0.0405089
81.24,0.029036799,0.0320157,0.0495979,0.031437401,0.068177499,0.204583004,0.238983005,0.244661003,0.257979006,0.080951601,0.0297793
94,0.030671399,0.032899201,0.047509801,0.029498899,0.065878697,0.236725003,0.283243001,0.267558008,0.304212004,0.081768297,0.0269894
147.9,0.029990399,0.032141902,0.047755498,0.0293849,0.063579299,0.211932003,0.251448005,0.25492999,0.270846993,0.080134898,0.027633199
73.02,0.033801399,0.037691601,0.054753002,0.039414499,0.061394401,0.157695994,0.186959997,0.177103996,0.198063001,0.0575689,0.0224826
98.66,0.0302628,0.031384502,0.050703,0.030183099,0.069671497,0.213045001,0.247293994,0.250304013,0.262234986,0.078399397,0.0278478
69.72,0.0287643,0.033530101,0.050211899,0.028586499,0.069096901,0.223723993,0.263579994,0.270375013,0.283288985,0.076051198,0.025916399
95.46,0.0294456,0.031384502,0.050334699,0.0282443,0.068522297,0.236279994,0.276868999,0.286139995,0.293857992,0.081870399,0.0270967
102.82,0.029036799,0.0315107,0.0486154,0.031437401,0.066913202,0.194330007,0.227892995,0.226023003,0.246657997,0.083810002,0.0324618
115.41,0.030807501,0.0307531,0.055856999,0.032121498,0.075415097,0.231059998,0.269322991,0.277020991,0.294167995,0.105345003,0.042654801
97.11,0.034481399,0.0395815,0.0596577,0.0421477,0.074726,0.170331001,0.196591005,0.193203002,0.209524006,0.067066103,0.026774799
90.88,0.040457498,0.0434842,0.058186799,0.043172501,0.078400403,0.149860993,0.177750006,0.196827993,0.186073005,0.054913498,0.022053299
127.33,0.039100502,0.041974001,0.0573286,0.039756201,0.073462598,0.168096006,0.194238007,0.199546993,0.208481997,0.0677808,0.028169701
45.1,0.036791898,0.0398334,0.0567155,0.0366804,0.071280003,0.198342994,0.239302993,0.241500005,0.265866995,0.0691083,0.025487101
56.89,0.036927801,0.040715002,0.055121001,0.036338601,0.070131101,0.188418999,0.220208004,0.218673006,0.239800006,0.076153301,0.029242801
43.95,0.037471101,0.039077599,0.057941601,0.035427,0.077941097,0.245716006,0.292477995,0.298514009,0.317764997,0.108814999,0.0413673
49.46,0.043982599,0.041092701,0.061740801,0.038844999,0.082073197,0.166195005,0.185139999,0.232351005,0.201814994,0.071252503,0.028169701
83.59,0.043169498,0.041344501,0.0610057,0.0429448,0.079433501,0.177591994,0.208780006,0.211659998,0.220038995,0.0828913,0.0332129
94.37,0.036791898,0.039203599,0.057941601,0.0383894,0.076104097,0.159150004,0.178820997,0.195922002,0.200563997,0.078195199,0.0332129
105.22,0.030943699,0.034161001,0.053894199,0.032463498,0.071739599,0.198899999,0.236637995,0.242629007,0.251125008,0.087076597,0.033749402
103.99,0.032441001,0.033530101,0.054384898,0.0307533,0.074266598,0.210706994,0.242500007,0.248724997,0.260055006,0.081564203,0.030101201
128.64,0.037878498,0.037061401,0.0573286,0.035540901,0.074955702,0.189758003,0.215296,0.224778995,0.227009997,0.078603603,0.031388801
116.27,0.043576099,0.041218601,0.061618298,0.039756201,0.077367097,0.183063,0.211665004,0.215279996,0.225658,0.074111402,0.031710699
119.71,0.0352971,0.038069598,0.055979598,0.037478,0.072314002,0.182728007,0.214228004,0.217541993,0.227633998,0.084524602,0.035573401
104.73,0.037878498,0.036557101,0.0567155,0.035768799,0.074036904,0.193214998,0.218606994,0.224892005,0.238137007,0.082585,0.033642098
108.73,0.0382859,0.037187401,0.054630298,0.035882801,0.070360899,0.177704006,0.201404005,0.213923007,0.214001,0.073396698,0.0311742
96.3,0.037063599,0.0397075,0.056838099,0.034173299,0.071280003,0.232170999,0.281861991,0.286702991,0.300898999,0.084626697,0.0274186
94.77,0.0380143,0.040211301,0.054875702,0.037819698,0.066108599,0.182170004,0.217432007,0.20634,0.233769998,0.074417703,0.029242801
94.51,0.0385575,0.041722201,0.0586772,0.0413507,0.068407401,0.149860993,0.165101007,0.173020005,0.174804002,0.063696302,0.028062399
98.87,0.0342094,0.037187401,0.0536488,0.036908299,0.065533802,0.169437006,0.193702996,0.197167993,0.20442,0.072171398,0.0298866
96.76,0.033937398,0.037439499,0.052666999,0.034857102,0.070475802,0.205474004,0.236531004,0.239581004,0.253825009,0.084218301,0.032783698
74.36,0.039914802,0.038951602,0.0574512,0.036452498,0.070246004,0.167200997,0.188458994,0.186289996,0.190870002,0.062879302,0.0265602
107,0.037063599,0.0375655,0.054262199,0.037478,0.070360899,0.184514001,0.215083003,0.216297999,0.225658,0.0785015,0.031925298
91.59,0.0295818,0.032268099,0.050211899,0.029841,0.068292499,0.209482998,0.245697007,0.258765012,0.262546003,0.074519798,0.0251652
88.7,0.0380143,0.034539402,0.051071301,0.031437401,0.066683397,0.191764995,0.223196998,0.235741004,0.241255,0.0769701,0.0290282
87.92,0.030807501,0.033782501,0.051807899,0.030183099,0.0728883,0.229615003,0.269109994,0.283100992,0.288264006,0.107794002,0.040830798
81.05,0.032032698,0.034665499,0.054384898,0.033717401,0.074496299,0.229615003,0.269109994,0.273528993,0.294997007,0.095854498,0.036002599
81.95,0.043033998,0.039959401,0.057573799,0.0396423,0.070131101,0.114757001,0.126643002,0.177331001,0.124724999,0.0417367,0.018834
104.86,0.036656,0.036178902,0.056960698,0.033375401,0.074726,0.215381995,0.249211997,0.246805996,0.261197001,0.091567799,0.0373974
118.84,0.030943699,0.032268099,0.051807899,0.0307533,0.073003203,0.221166,0.256345004,0.262147009,0.274165988,0.087280698,0.0310669
63.84,0.036112599,0.042980898,0.066149198,0.04727,0.0743815,0.167425007,0.187923998,0.146441996,0.195769995,0.056445401,0.022804501
92.03,0.038828999,0.049644198,0.073488101,0.054208402,0.075415097,0.143812999,0.161560997,0.123799004,0.164988995,0.053483602,0.021731401
95.38,0.033393301,0.035043899,0.054384898,0.034401301,0.075644799,0.195222005,0.223943993,0.224326998,0.240943,0.075847,0.0297793
88.68,0.036656,0.035296202,0.054384898,0.0329195,0.0743815,0.196783006,0.227999002,0.233481005,0.245412007,0.0814621,0.030101201
82.06,0.033257298,0.035043899,0.0537715,0.0329195,0.073692396,0.227947995,0.269960999,0.28084901,0.285257995,0.103100002,0.038470399
94.98,0.0357049,0.035422299,0.057941601,0.035654899,0.0805813,0.239944994,0.277613014,0.281863004,0.302969992,0.107284002,0.04126
78.74,0.033529401,0.036431,0.061250702,0.036794402,0.082991198,0.203691006,0.237917006,0.260569006,0.257355988,0.094935901,0.0380412
91.14,0.037471101,0.036178902,0.056102298,0.037705801,0.073807202,0.180830002,0.205572993,0.211998999,0.216915995,0.0769701,0.033749402
103.17,0.0343454,0.034917802,0.051685099,0.031323399,0.073347799,0.211820006,0.245590001,0.247822002,0.257459998,0.0828913,0.0316034
59.77,0.037199501,0.041596301,0.0531579,0.037250102,0.063809298,0.156800002,0.178071007,0.188329995,0.191808999,0.0665555,0.028706299
93.42,0.035840798,0.036809199,0.0504575,0.0332614,0.065648802,0.177591994,0.209420994,0.212790996,0.225136995,0.071967199,0.0293501
77.22,0.039236199,0.0397075,0.0553663,0.037363999,0.065648802,0.157135993,0.181178004,0.176082999,0.192017004,0.067270301,0.030101201
87.78,0.038150098,0.0384477,0.055243701,0.0339454,0.073577501,0.222611994,0.261133999,0.273867011,0.282355994,0.080032803,0.028706299
79.94,0.030807501,0.033151601,0.0527898,0.0309813,0.070820503,0.217050999,0.256983995,0.279273003,0.280387014,0.076051198,0.0248433
49.13,0.035025202,0.035296202,0.054016899,0.0336034,0.071050197,0.197228,0.231413007,0.230995998,0.244788006,0.076255403,0.029135499
47.86,0.036112599,0.034917802,0.052298799,0.0336034,0.0686372,0.187526003,0.217752993,0.208943993,0.227321997,0.065840699,0.0257018
36.08,0.0302628,0.034539402,0.055489,0.028586499,0.078400403,0.227947995,0.263155013,0.270148993,0.281423986,0.074724004,0.0243068
42.59,0.037199501,0.037313402,0.054753002,0.033375401,0.066683397,0.202689007,0.241753995,0.245113,0.254137009,0.040919501,0.0134683
6.2,0.043033998,0.053661302,0.075565502,0.056595601,0.071280003,0.091927201,0.099389799,0.096327901,0.098208502,0.0288636,0.0123952
54.42,0.0295818,0.033025399,0.049720701,0.030297199,0.069326699,0.219832003,0.259112,0.263837993,0.274165988,0.075847,0.0274186
85.43,0.030943699,0.031637002,0.053525999,0.028814601,0.074496299,0.234281003,0.26879099,0.274542987,0.291889995,0.0799307,0.026345599
93.66,0.031079801,0.033530101,0.053280599,0.0269896,0.075415097,0.239167005,0.279843986,0.290865988,0.302141011,0.0840142,0.0274186
83.4,0.031352099,0.031384502,0.053894199,0.0292708,0.072084203,0.203914002,0.233759001,0.266543001,0.253410012,0.073702998,0.025379799
84.81,0.030671399,0.034539402,0.054753002,0.029841,0.073922098,0.222946003,0.256983995,0.268234015,0.276757985,0.080441199,0.028062399
93.57,0.039236199,0.038699701,0.061373301,0.0406674,0.077022702,0.174687997,0.197981998,0.188443005,0.199835002,0.071660899,0.0310669
83.09,0.037606899,0.040966801,0.064557701,0.044310901,0.074496299,0.123740003,0.135247007,0.156443,0.134565994,0.045414299,0.0209802
